,month,day,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir
43,1,3,19,53.0,-11,-9.0,1022.0,1.78,25,0
44,1,3,20,71.0,-10,-9.0,1022.0,4.02,26,0
45,1,3,21,72.0,-11,-10.0,1023.0,7.15,27,0
46,1,3,22,76.0,-11,-9.0,1023.0,11.17,0,0
47,1,3,23,73.0,-12,-11.0,1023.0,14.3,0,0
48,1,4,0,79.0,-14,-12.0,1023.0,16.09,0,0
49,1,4,1,58.0,-16,-9.0,1023.0,21.9,0,0
50,1,4,2,25.0,-17,-10.0,1024.0,29.95,0,0
51,1,4,3,26.0,-18,-11.0,1024.0,39.78,0,0
52,1,4,4,28.0,-19,-11.0,1025.0,48.72,0,0
53,1,4,5,26.0,-20,-12.0,1026.0,55.87,0,0
54,1,4,6,20.0,-21,-12.0,1027.0,64.81,0,0
55,1,4,7,29.0,-21,-13.0,1027.0,73.75,0,0
56,1,4,8,26.0,-22,-13.0,1028.0,80.9,0,0
57,1,4,9,27.0,-22,-13.0,1029.0,90.73,0,0
58,1,4,10,27.0,-22,-12.0,1030.0,100.56,0,0
59,1,4,11,25.0,-23,-12.0,1031.0,108.61,0,0
60,1,4,12,29.0,-21,-11.0,1030.0,117.55,0,0
61,1,4,13,32.0,-20,-10.0,1030.0,127.38,0,0
62,1,4,14,28.0,-21,-10.0,1030.0,136.32,0,0
63,1,4,15,29.0,-21,-9.0,1030.0,145.26,0,0
64,1,4,16,30.0,-21,-9.0,1031.0,152.41,0,0
65,1,4,17,30.0,-20,-11.0,1032.0,159.56,0,0
66,1,4,18,28.0,-23,-11.0,1032.0,165.37,0,0
67,1,4,19,26.0,-21,-12.0,1033.0,171.18,0,0
68,1,4,20,31.0,-24,-12.0,1034.0,180.12,0,0
69,1,4,21,33.0,-24,-13.0,1034.0,187.27,0,0
70,1,4,22,29.0,-24,-13.0,1035.0,195.32,0,0
71,1,4,23,31.0,-26,-15.0,1035.0,198.45,0,0
72,1,5,0,30.0,-26,-17.0,1035.0,201.58,0,0
73,1,5,1,34.0,-26,-18.0,1035.0,205.6,0,0
74,1,5,2,27.0,-26,-19.0,1035.0,208.73,0,0
75,1,5,3,25.0,-27,-18.0,1035.0,213.65,0,0
76,1,5,4,28.0,-27,-19.0,1035.0,218.57,0,0
77,1,5,5,28.0,-27,-16.0,1034.0,4.92,0,0
78,1,5,6,27.0,-26,-16.0,1035.0,8.05,0,0
79,1,5,7,27.0,-27,-16.0,1034.0,13.86,0,0
80,1,5,8,27.0,-26,-16.0,1035.0,18.78,0,0
81,1,5,9,29.0,-26,-15.0,1035.0,24.59,0,0
82,1,5,10,36.0,-25,-14.0,1035.0,29.51,0,0
83,1,5,11,30.0,-25,-13.0,1035.0,34.43,0,0
84,1,5,12,27.0,-25,-12.0,1034.0,39.35,0,0
85,1,5,13,39.0,-24,-11.0,1032.0,41.14,0,0
86,1,5,14,41.0,-22,-11.0,1032.0,0.89,0,0
87,1,5,15,33.0,-23,-11.0,1031.0,1.79,0,0
88,1,5,16,50.0,-24,-11.0,1031.0,3.58,0,0
89,1,5,17,56.0,-23,-11.0,1031.0,5.37,0,0
90,1,5,18,59.0,-23,-11.0,1032.0,7.16,0,0
91,1,5,19,60.0,-22,-13.0,1033.0,10.29,0,0
92,1,5,20,84.0,-22,-12.0,1033.0,13.42,0,0
93,1,5,21,106.0,-24,-18.0,1033.0,16.55,0,0
94,1,5,22,66.0,-22,-13.0,1034.0,20.57,0,0
95,1,5,23,50.0,-22,-16.0,1033.0,23.7,0,0
96,1,6,0,56.0,-25,-17.0,1033.0,26.83,0,0
97,1,6,1,77.0,-25,-14.0,1033.0,4.02,0,0
98,1,6,2,50.0,-26,-14.0,1034.0,8.04,0,0
99,1,6,3,44.0,-26,-14.0,1033.0,13.85,0,0
